"","Departamento","Mes","Vacunados"
"1","AMAZONAS","3",6550
"2","ANCASH","3",19018
"3","APURIMAC","3",14764
"4","AREQUIPA","3",26097
"5","AYACUCHO","3",26182
"6","CAJAMARCA","3",9425
"7","CALLAO","3",57940
"8","CUSCO","3",12539
"9","HUANCAVELICA","3",16101
"10","HUANUCO","3",13353
"11","ICA","3",18125
"12","JUNIN","3",8607
"13","LA LIBERTAD","3",25420
"14","LAMBAYEQUE","3",12951
"15","LIMA","3",419543
"16","LORETO","3",12504
"17","MADRE DE DIOS","3",3321
"18","MOQUEGUA","3",2831
"19","PASCO","3",4536
"20","PIURA","3",22759
"21","PUNO","3",11238
"22","SAN MARTIN","3",7967
"23","TACNA","3",5199
"24","TUMBES","3",7029
"25","UCAYALI","3",11245
"26","AMAZONAS","7",28741
"27","ANCASH","7",119167
"28","APURIMAC","7",45336
"29","AREQUIPA","7",113740
"30","AYACUCHO","7",43592
"31","CAJAMARCA","7",128845
"32","CALLAO","7",120442
"33","CUSCO","7",141707
"34","HUANCAVELICA","7",43466
"35","HUANUCO","7",42631
"36","ICA","7",123252
"37","JUNIN","7",148117
"38","LA LIBERTAD","7",106889
"39","LAMBAYEQUE","7",76148
"40","LIMA","7",1045760
"41","LORETO","7",54217
"42","MADRE DE DIOS","7",12341
"43","MOQUEGUA","7",12620
"44","PASCO","7",45351
"45","PIURA","7",150102
"46","PUNO","7",75696
"47","SAN MARTIN","7",97225
"48","TACNA","7",49680
"49","TUMBES","7",23807
"50","UCAYALI","7",61471
"51","AMAZONAS","1",4552
"52","ANCASH","1",9524
"53","APURIMAC","1",6461
"54","AREQUIPA","1",15518
"55","AYACUCHO","1",7211
"56","CAJAMARCA","1",9705
"57","CALLAO","1",16096
"58","CUSCO","1",10823
"59","HUANCAVELICA","1",4976
"60","HUANUCO","1",7599
"61","ICA","1",9303
"62","JUNIN","1",12344
"63","LA LIBERTAD","1",15127
"64","LAMBAYEQUE","1",11542
"65","LIMA","1",123684
"66","LORETO","1",7001
"67","MADRE DE DIOS","1",1675
"68","MOQUEGUA","1",3569
"69","PASCO","1",3011
"70","PIURA","1",14057
"71","PUNO","1",8744
"72","SAN MARTIN","1",7989
"73","TACNA","1",4308
"74","TUMBES","1",2737
"75","UCAYALI","1",4287
"76","AMAZONAS","6",59287
"77","ANCASH","6",220966
"78","APURIMAC","6",67135
"79","AREQUIPA","6",259539
"80","AYACUCHO","6",65402
"81","CAJAMARCA","6",190078
"82","CALLAO","6",296767
"83","CUSCO","6",228765
"84","HUANCAVELICA","6",55144
"85","HUANUCO","6",69698
"86","ICA","6",121489
"87","JUNIN","6",262118
"88","LA LIBERTAD","6",225730
"89","LAMBAYEQUE","6",158967
"90","LIMA","6",2686485
"91","LORETO","6",116507
"92","MADRE DE DIOS","6",12520
"93","MOQUEGUA","6",41181
"94","PASCO","6",51584
"95","PIURA","6",226999
"96","PUNO","6",54167
"97","SAN MARTIN","6",115098
"98","TACNA","6",103416
"99","TUMBES","6",32335
"100","UCAYALI","6",53936
"101","AMAZONAS","5",29898
"102","ANCASH","5",128267
"103","APURIMAC","5",39394
"104","AREQUIPA","5",261917
"105","AYACUCHO","5",51309
"106","CAJAMARCA","5",113827
"107","CALLAO","5",147383
"108","CUSCO","5",132421
"109","HUANCAVELICA","5",32735
"110","HUANUCO","5",46429
"111","ICA","5",87864
"112","JUNIN","5",184977
"113","LA LIBERTAD","5",190895
"114","LAMBAYEQUE","5",135090
"115","LIMA","5",1291192
"116","LORETO","5",37271
"117","MADRE DE DIOS","5",10104
"118","MOQUEGUA","5",21112
"119","PASCO","5",22244
"120","PIURA","5",175609
"121","PUNO","5",74713
"122","SAN MARTIN","5",57065
"123","TACNA","5",66675
"124","TUMBES","5",20861
"125","UCAYALI","5",28048
"126","AMAZONAS","2",5288
"127","ANCASH","2",17359
"128","APURIMAC","2",7993
"129","AREQUIPA","2",34563
"130","AYACUCHO","2",8976
"131","CAJAMARCA","2",14476
"132","CALLAO","2",66609
"133","CUSCO","2",14055
"134","HUANCAVELICA","2",5904
"135","HUANUCO","2",9220
"136","ICA","2",13509
"137","JUNIN","2",18237
"138","LA LIBERTAD","2",29733
"139","LAMBAYEQUE","2",14695
"140","LIMA","2",373961
"141","LORETO","2",15749
"142","MADRE DE DIOS","2",2346
"143","MOQUEGUA","2",4231
"144","PASCO","2",3752
"145","PIURA","2",17464
"146","PUNO","2",10264
"147","SAN MARTIN","2",14546
"148","TACNA","2",5190
"149","TUMBES","2",5276
"150","UCAYALI","2",5986
"151","AMAZONAS","4",19770
"152","ANCASH","4",73997
"153","APURIMAC","4",20229
"154","AREQUIPA","4",104474
"155","AYACUCHO","4",22789
"156","CAJAMARCA","4",61844
"157","CALLAO","4",123438
"158","CUSCO","4",76280
"159","HUANCAVELICA","4",14621
"160","HUANUCO","4",37177
"161","ICA","4",90083
"162","JUNIN","4",79743
"163","LA LIBERTAD","4",186219
"164","LAMBAYEQUE","4",115444
"165","LIMA","4",1141498
"166","LORETO","4",43893
"167","MADRE DE DIOS","4",3555
"168","MOQUEGUA","4",20111
"169","PASCO","4",10755
"170","PIURA","4",99520
"171","PUNO","4",47524
"172","SAN MARTIN","4",46242
"173","TACNA","4",38919
"174","TUMBES","4",9593
"175","UCAYALI","4",16182
